Country,Preservation Requests,Preservation Accounts Preserved,Total Requests,Number of Requests Where Some Data Produced,Total Requests Accounts,Total Requests Percentage,Legal Process Request Total,Legal Number of Requests Where Some Data Produced,Legal Process Request Total Accounts,Legal Process Request Total Percentage,Emergency Request Total,ER Number of Requests Where Some Data Produced,Emergency Request Total Accounts,Emergency Request Total Percentage,Search Warrant,Search Warrant Accounts,Search Warrant Percentage,Subpoena,Subpoena Accounts,Subpoena Percentage,Court Order (Other),Court Order (Other) Accounts,Court Order (Other) Percentage,MLAT Search Warrant,MLAT Search Warrant Accounts,MLAT Search Warrant Percentage,MLAT Order,MLAT Order Accounts,MLAT Order Percentage,Court Order (18 USC 2703(d)),Court Order (18 USC 2703(d)) Accounts,Court Order (18 USC 2703(d)) Percentage,Pen Register/Trap and Trace,Pen Register/Trap and Trace Accounts,Pen Register/Trap and Trace Percentage,Title III,Title III Accounts,Title III Percentage,FISA Content Requests,FISA Content Requests Accounts,FISA Content Requests Percentage,FISA Non-Content Requests,FISA Non-Content Requests Accounts,FISA Non-Content Requests Percentage,NSLs,NSLs Accounts,NSLs Percentage
United States,82142,141631,61528,54181,106114,88%,57910,51424,100671,89%,3618,2757,5443,76%,35856,55002,89%,10245,23399,85%,2140,2773,92%,,,,,,,1050,4272,89%,8314,14832,94%,305.0,393.0,97%,,,,,,,,,
India,4132,9406,35560,17922,57294,50%,33374,16781,49290,50%,2186,1141,8004,52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,404,631,11211,6957,15785,62%,10436,6422,14537,62%,775,535,1248,69%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,198,254,11086,9467,12502,85%,7741,6313,9082,82%,3345,3154,3420,94%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,511,775,9185,8079,10819,88%,7202,6482,8980,90%,1983,1597,1839,81%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,4428,8737,7517,5320,30875,71%,6850,4868,29796,71%,667,452,1079,68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,12,18,6171,4904,7487,79%,6143,4884,7450,80%,28,20,37,71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,440,558,4572,2666,5989,58%,4200,2396,5539,57%,372,270,450,73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1580,2441,2724,1708,4540,63%,2641,1664,4418,63%,83,44,122,53%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,691,1969,2449,1100,4342,45%,1917,817,3407,43%,532,283,935,53%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
